Date (GMT),Open,High,Low,Last
2016/5/30,35930,36020,35620,35700
2016/5/31,35700,35930,35630,35770
2016/6/1,35770,35820,35200,35370
2016/6/2,35210,35440,35120,35320
2016/6/3,35340,35810,35240,35510
2016/6/6,36180,36300,35860,36160
2016/6/7,36240,36300,35900,35990
2016/6/8,35510,35540,35280,35470
2016/6/13,35030,35630,35030,35460
2016/6/14,35450,35600,35300,35460
2016/6/15,35260,35460,35160,35370
2016/6/16,35990,36060,35390,35710
2016/6/17,35280,35640,35200,35420
2016/6/20,35530,35670,35350,35530
2016/6/21,35610,35900,35510,35690
2016/6/22,35610,36250,35550,35900
2016/6/23,36200,36380,36050,36170
2016/6/24,36550,36720,35860,36200
2016/6/27,36080,36690,36010,36370
2016/6/28,36480,37200,36410,36830
2016/6/29,37270,37410,36940,37110
2016/6/30,37150,37630,37010,37430
2016/7/1,37540,37560,37050,37360
2016/7/4,37200,38360,37200,38030
2016/7/5,38340,38340,37410,37620
2016/7/6,37680,37680,37000,37320
2016/7/7,36770,37200,36770,37050
2016/7/8,36970,37030,36500,36590
2016/7/11,36620,37070,36550,36820
2016/7/12,37150,37150,36900,37010
2016/7/13,37100,39200,36890,38370
2016/7/14,38720,38800,38110,38310
2016/7/15,37530,38420,37530,38220
2016/7/18,38620,38840,37750,38070
2016/7/19,37740,38480,37740,38210
2016/7/20,38280,38700,38060,38320
2016/7/21,38020,38600,37850,38400
2016/7/22,38520,38740,38120,38350
2016/7/25,38290,38570,37780,38100
2016/7/26,38130,38220,37600,37740
2016/7/27,37710,38020,37600,37820
2016/7/28,37670,37820,37400,37680
2016/7/29,37800,37990,37410,37730
2016/8/1,37580,38160,37410,37870
2016/8/2,37950,38000,37560,37760
2016/8/3,37990,38230,37580,37780
2016/8/4,37650,37750,37330,37540
2016/8/5,37300,37670,37210,37470
2016/8/8,37400,37520,37280,37440
2016/8/9,37470,37550,37100,37280
2016/8/10,37110,37330,37100,37240
2016/8/11,37500,37560,37310,37360
2016/8/12,37400,37480,37320,37380
2016/8/15,36280,37220,36280,37040
2016/8/16,36980,37220,36980,37080
2016/8/17,37230,37310,37110,37200
2016/8/18,37100,37340,37030,37170
2016/8/19,37410,37410,37170,37230
2016/8/22,37260,37320,37050,37180
2016/8/23,37010,37150,36900,37080
2016/8/24,36990,37000,36630,36770
2016/8/25,36540,36620,36040,36310
2016/8/26,36270,36490,36160,36340
2016/8/29,36350,36590,36210,36370
2016/8/30,36370,36500,36240,36390
2016/8/31,36220,36350,36120,36270
2016/9/1,36300,36600,36180,36420
2016/9/2,36430,36640,36350,36500
2016/9/5,36610,37400,36440,36540
2016/9/6,36480,36570,36370,36500
2016/9/7,36480,36780,36430,36670
2016/9/8,36700,36750,36530,36620
2016/9/9,36550,36680,36470,36610
2016/9/12,36550,36580,36190,36340
2016/9/13,36290,36590,36290,36520
2016/9/14,36680,36780,36480,36660
2016/9/19,36950,37150,36950,37070
2016/9/20,37230,37300,37140,37200
2016/9/21,37300,37460,37160,37280
2016/9/22,37360,37630,37230,37500
2016/9/23,37710,37840,37620,37710
2016/9/26,37800,37840,37660,37720
2016/9/27,37700,37790,37480,37580
2016/9/28,37590,37590,37260,37440
2016/9/29,37530,37910,37520,37800
2016/9/30,37660,37870,37570,37670
2016/10/10,37600,37670,37500,37540
2016/10/11,37710,38150,37710,37980
2016/10/12,38020,38020,37780,37920
2016/10/13,38000,38080,37630,37850
2016/10/14,37310,37550,37250,37480
2016/10/17,37800,37800,37300,37330
2016/10/18,37260,37410,37210,37300
2016/10/19,37300,37410,37180,37260
2016/10/20,37210,37440,36990,37270
2016/10/21,37230,37270,35660,37150
2016/10/24,37100,37440,37100,37320
2016/10/25,37330,38180,37290,37860
2016/10/26,38160,38250,37740,37920
2016/10/27,37810,37970,37750,37830
2016/10/28,38060,38330,37940,38190
2016/10/31,38400,38610,38290,38420
2016/11/1,38500,38870,38410,38680
2016/11/2,38760,39120,38590,38740
2016/11/3,38610,38970,38610,38810
2016/11/4,38860,39310,38860,39130
2016/11/7,39190,40560,38740,39880
2016/11/8,40020,40670,40020,40360
2016/11/9,40410,42000,40410,41470
2016/11/10,41450,43950,41450,43460
2016/11/11,45460,47000,44700,45390
2016/11/14,47990,48090,44500,45770
2016/11/15,45000,46060,43230,45360
2016/11/16,43750,44630,43600,44190
2016/11/17,44270,44400,43420,43810
2016/11/18,43750,44550,43730,44040
2016/11/21,44320,45340,43600,44590
2016/11/22,45130,46250,44710,45690
2016/11/23,45940,46030,45350,45720
2016/11/24,45450,48460,45420,47560
2016/11/25,47870,48870,47500,48030
2016/11/28,47970,49430,47720,48670
2016/11/29,49150,49150,46480,47520
2016/11/30,46770,47060,45000,46060
2016/12/1,46160,47320,46100,46850
2016/12/2,46730,46940,46010,46290
2016/12/5,46150,47310,46020,46890
2016/12/6,47440,48000,47230,47510
2016/12/7,47330,48110,47190,47590
2016/12/8,47800,48020,46640,46980
2016/12/9,47200,47350,46300,46840
2016/12/12,47150,47870,46880,47420
2016/12/13,46790,46950,46400,46580
2016/12/14,47590,47590,46000,46180
2016/12/15,46200,47230,46000,46500
2016/12/16,46390,47000,46110,46570
2016/12/19,46160,46450,45500,45880
2016/12/20,45480,45490,44320,44860
2016/12/21,44800,45300,44720,45110
2016/12/22,45090,45190,44330,44690
2016/12/23,44370,45120,44080,44750
2016/12/26,44830,44980,43360,43950
2016/12/27,44040,44680,43840,44310
2016/12/28,44580,45750,44490,45430
2016/12/29,45220,45660,44950,45320
2016/12/30,45360,45880,44830,45210
2017/1/3,45470,45970,45420,45780
2017/1/4,45670,45670,44630,45000
2017/1/5,45210,45830,45110,45560
2017/1/6,45350,45430,44930,45160
2017/1/9,45160,45480,44880,45330
2017/1/10,45340,46000,45130,45530
2017/1/11,45910,46880,45910,46660
2017/1/12,46680,46890,46530,46690
2017/1/13,47040,47450,46820,47240
2017/1/16,47180,48000,47180,47590
2017/1/17,47700,47870,46410,47040
2017/1/18,46660,46880,45800,46350
2017/1/19,46430,46720,46170,46530
2017/1/20,46380,46590,45910,46340
2017/1/23,46150,47100,46060,46780
2017/1/24,46680,47070,46400,46810
2017/1/25,47190,47690,47190,47480
2017/1/26,47380,48590,47310,47660
2017/2/3,46880,47350,46440,46720
2017/2/6,46550,46790,46210,46480
2017/2/7,46460,46870,46130,46690
2017/2/8,46530,47450,46450,47150
2017/2/9,47500,47510,47010,47250
2017/2/10,47240,47500,46720,47010
2017/2/13,47300,50300,47280,49320
2017/2/14,49460,49630,49170,49400
2017/2/15,49680,49680,47670,48490
2017/2/16,48590,49150,48310,48780
2017/2/17,48450,48740,47970,48400
2017/2/20,48100,48620,47760,48280
2017/2/21,48590,49100,48520,48850
2017/2/22,48690,48950,48300,48630
2017/2/23,48370,48750,48000,48320
2017/2/24,48420,48490,46950,47460
2017/2/27,47520,48100,47250,47700
2017/2/28,47670,47870,47250,47640
2017/3/1,47460,48530,47460,48150
2017/3/2,48580,48820,48120,48430
2017/3/3,48500,48500,47680,47860
2017/3/6,47940,48160,47520,47900
