Date (GMT),Open,High,Low,Last
2016/3/18,14120,14520,14110,14325
2016/3/21,14360,14495,14230,14370
2016/3/22,14365,14515,14340,14410
2016/3/23,14385,14455,14300,14360
2016/3/24,14320,14320,14130,14200
2016/3/25,14095,14215,14005,14130
2016/3/28,14190,14305,14150,14240
2016/3/29,14165,14315,14050,14180
2016/3/30,14125,14200,14020,14090
2016/3/31,14075,14210,14040,14090
2016/4/1,14110,14380,14110,14305
2016/4/5,14380,14430,14345,14385
2016/4/6,14290,14290,14160,14235
2016/4/7,14185,14215,14110,14180
2016/4/8,14000,14015,13880,13940
2016/4/11,14030,14135,14015,14075
2016/4/12,14020,14090,13985,14010
2016/4/13,14100,14710,14100,14580
2016/4/14,14850,15050,14700,14840
2016/4/15,14840,14900,14725,14830
2016/4/18,14880,15250,14765,15015
2016/4/19,15150,15215,14895,15050
2016/4/20,15120,15240,14980,15095
2016/4/21,15125,15390,14995,15150
2016/4/22,15360,15395,14775,14990
2016/4/25,15055,15415,14915,15125
2016/4/26,15010,15065,14745,14930
2016/4/27,14885,15000,14770,14915
2016/4/28,14930,14975,14755,14815
2016/4/29,14855,15250,14855,15095
2016/5/3,15175,15280,15055,15145
2016/5/4,15100,15130,14815,14935
2016/5/5,14885,14945,14790,14840
2016/5/6,14855,14865,14650,14710
2016/5/9,14885,15020,14605,14710
2016/5/10,14600,14680,14505,14590
2016/5/11,14670,14850,14670,14735
2016/5/12,14980,15180,14730,15055
2016/5/13,15020,15020,14800,14900
2016/5/16,15020,15075,14995,15030
2016/5/17,15055,15185,14985,15085
2016/5/18,15065,15225,14920,15055
2016/5/19,14980,15060,14870,14970
2016/5/20,14815,14990,14770,14885
2016/5/23,15025,15140,14715,14880
2016/5/24,14755,14810,14390,14625
2016/5/25,14485,14670,14470,14545
2016/5/26,14535,14900,14535,14680
2016/5/27,14890,15000,14770,14900
2016/5/30,15025,15050,14920,14975
2016/5/31,15000,15075,14885,15000
2016/6/1,15105,15105,14870,14990
2016/6/2,14890,15570,14890,15410
2016/6/3,15480,15525,15290,15400
2016/6/6,15630,15760,15495,15660
2016/6/7,15695,15735,15550,15610
2016/6/8,15580,15580,15410,15470
2016/6/13,15675,15950,15675,15735
2016/6/14,15705,15815,15590,15700
2016/6/15,15630,15630,15470,15550
2016/6/16,15775,15825,15500,15640
2016/6/17,15540,15645,15340,15480
2016/6/20,15515,15625,15420,15530
2016/6/21,15550,15750,15510,15645
2016/6/22,15570,15765,15490,15625
2016/6/23,15745,15795,15650,15710
2016/6/24,15750,15775,15420,15565
2016/6/27,15465,15680,15460,15585
2016/6/28,15590,15895,15510,15660
2016/6/29,16010,16295,15775,16090
2016/6/30,16065,16420,16055,16295
2016/7/1,16420,16490,16220,16345
2016/7/4,16495,16945,16495,16700
2016/7/5,16615,16650,16230,16365
2016/7/6,16475,16495,16155,16290
2016/7/7,16060,16460,16055,16360
2016/7/8,16270,16400,16180,16285
2016/7/11,16560,16700,16400,16535
2016/7/12,16690,16715,16570,16625
2016/7/13,16855,17110,16790,16920
2016/7/14,16795,16840,16570,16745
2016/7/15,16670,16900,16670,16820
2016/7/18,17120,17205,16795,16990
2016/7/19,16945,17285,16900,17095
2016/7/20,17280,17280,17055,17155
2016/7/21,17010,17330,16950,17150
2016/7/22,17335,17495,17210,17330
2016/7/25,17250,17385,17080,17250
2016/7/26,17385,17385,17030,17170
2016/7/27,17095,17150,16860,17000
2016/7/28,16890,16950,16665,16790
2016/7/29,16805,17000,16770,16870
2016/8/1,16900,17315,16810,17125
2016/8/2,17295,17320,17190,17260
2016/8/3,17375,17425,17150,17240
2016/8/4,17240,17320,17130,17245
2016/8/5,17170,17340,17145,17255
2016/8/8,17275,17420,17260,17350
2016/8/9,17400,17400,17210,17285
2016/8/10,17235,17630,17210,17390
2016/8/11,17615,17655,17500,17540
2016/8/12,17480,17585,17400,17445
2016/8/15,17300,17300,17080,17180
2016/8/16,17100,17380,17100,17275
2016/8/17,17295,17325,17175,17235
2016/8/18,17235,17535,17230,17400
2016/8/19,17545,17550,17350,17430
2016/8/22,17450,17520,17350,17450
2016/8/23,17440,17610,17370,17500
2016/8/24,17540,17640,17505,17555
2016/8/25,17580,17615,17325,17440
2016/8/26,17510,18030,17495,17855
2016/8/29,17965,18110,17890,17945
2016/8/30,17955,18050,17830,17880
2016/8/31,17895,18185,17890,18065
2016/9/1,18085,18395,18020,18230
2016/9/2,18340,18565,18255,18495
2016/9/5,18610,18615,18370,18420
2016/9/6,18400,18465,18220,18315
2016/9/7,18220,18330,18150,18255
2016/9/8,18315,18380,18020,18140
2016/9/9,18070,18215,17980,18140
2016/9/12,18100,18120,17700,17805
2016/9/13,16915,17880,16915,17805
2016/9/14,17645,17660,17500,17570
2016/9/19,16605,17625,16605,17540
2016/9/20,17545,17955,17545,17850
2016/9/21,17970,18175,17930,18020
2016/9/22,17880,18070,17740,17930
2016/9/23,17935,18065,17850,17935
2016/9/26,17850,17905,17570,17675
2016/9/27,17770,18070,17660,17830
2016/9/28,18075,18105,17925,18015
2016/9/29,18000,18285,17970,18185
2016/9/30,18205,18300,18135,18200
2016/10/10,18170,18495,18050,18275
2016/10/11,18235,18310,18090,18170
2016/10/12,17960,17960,17770,17840
2016/10/13,17960,18160,17755,17850
2016/10/14,17575,18230,17575,17905
2016/10/17,17910,18000,17880,17910
2016/10/18,18090,18300,17905,18080
2016/10/19,18230,18310,18115,18200
2016/10/20,18175,18405,18045,18255
2016/10/21,18270,18325,18155,18245
2016/10/24,18150,18280,18090,18175
2016/10/25,18350,19080,18330,18780
2016/10/26,19045,19150,18740,18900
2016/10/27,18875,19020,18735,18855
2016/10/28,18970,19300,18870,19090
2016/10/31,19155,19450,19100,19270
2016/11/1,19445,20055,19385,19825
2016/11/2,19850,19865,19365,19645
2016/11/3,19420,19720,19350,19505
2016/11/4,19720,20005,19640,19795
2016/11/7,19700,20215,19660,19895
2016/11/8,20080,20125,19860,19985
2016/11/9,19885,20425,19715,20005
2016/11/10,20105,21005,19955,20605
2016/11/11,20700,20940,20530,20715
2016/11/14,20725,21495,20210,20685
2016/11/15,20690,21925,20690,21725
2016/11/16,20975,21730,20850,21280
2016/11/17,21185,21305,20240,20700
2016/11/18,20610,21050,20490,20645
